Cage,Treatment,Sex,LightsOn,LightsOff
1,SA,,9:00 AM,9:00 PM
2,SA,,9:00 AM,9:00 PM
3,A,M,9:00 AM,9:00 PM
4,,,9:00 AM,9:00 PM
5,,,9:00 AM,9:00 PM
6,A,F,9:00 AM,9:00 PM
7,SLD,,9:00 AM,9:00 PM
8,SLD,,9:00 AM,9:00 PM
9,LD,M,9:00 AM,9:00 PM
10,SA,,9:00 AM,9:00 PM
11,SA,,9:00 AM,9:00 PM
12,LD,M,9:00 AM,9:00 PM
13,LD,F,9:00 AM,9:00 PM
14,A,M,9:00 AM,9:00 PM
15,LD,M,9:00 AM,9:00 PM
16,A,F,9:00 AM,9:00 PM
17,LD,F,9:00 AM,9:00 PM
18,A,M,9:00 AM,9:00 PM
19,LD,M,9:00 AM,9:00 PM
20,A,F,9:00 AM,9:00 PM
21,LD,F,9:00 AM,9:00 PM
22,LD,M,9:00 AM,9:00 PM
23,A,F,9:00 AM,9:00 PM
24,LD,F,9:00 AM,9:00 PM
