"WellID","ID","treat","Name","Concentration","dilution","timepoint","meanOD","log_conc","log_OD","Concentration_corrected"
"SPL1","B13",NA,"unk",310.987681733533,2,1,0.699,2.4927431869011,-0.155522824254319,621.975363467067
"SPL10","G6",NA,"unk",117.703730084288,2,7,1.1405,2.07079022604951,0.0570952896126674,235.407460168576
"SPL11","R6",NA,"unk",140.544179997262,3.14,7,1.043,2.14781286597044,0.0182843084265309,441.308725191403
"SPL12","Y19",NA,"unk",101.890394029309,2.32,7,1.2265,2.00813324174232,0.0886675525424046,236.385714147996
"SPL13","B6",NA,"unk",248.906660764758,2.44,13,0.782,2.39603651852372,-0.106793246940152,607.33225226601
"SPL14","G5",NA,"unk",168.459438259305,3.67,13,0.952,2.22649534817025,-0.0213630516155257,618.246138411649
"SPL15","Y17",NA,"unk",169.16399402095,2,13,0.95,2.22830793044023,-0.0222763947111523,338.327988041899
"SPL16","P23",NA,"unk",164.831925315046,2,13,0.9625,2.21704133142273,-0.0165992618194617,329.663850630092
"SPL17","Y18",NA,"unk",412.852397098472,2,13,0.606,2.61579481053449,-0.217527375833714,825.704794196943
"SPL18","R20",NA,"unk",144.503711779866,2,13,1.0285,2.15987900269679,0.0122042960307429,289.007423559732
"SPL19","B18",NA,"unk",155.713461721784,2,13,0.9905,2.19232615976636,-0.00414552012543411,311.426923443567
"SPL2","G18",NA,"unk",448.088557416785,2.2,1,0.5815,2.65136385372291,-0.235450280935533,985.794826316926
"SPL20","G13",NA,"unk",157.443710288535,2,13,0.985,2.19712531570903,-0.00656376950238827,314.88742057707
"SPL21","R19",NA,"unk",104.32378846093,2,13,1.212,2.01838334983917,0.0835026198302675,208.647576921859
"SPL22","P9",NA,"unk",86.7577700141396,2.75,13,1.33,1.93830838055976,0.123851640967086,238.583867538884
"SPL23","P6",NA,"unk",236.446824120164,2,13,0.8025,2.37373348508289,-0.0955549589230903,472.893648240327
"SPL24","R9",NA,"unk",98.9865646855754,2.44,13,1.2445,1.99557625238664,0.094994900944612,241.527217832804
"SPL25","B7",NA,"unk",299.820366915188,2,19,0.712,2.47686113130893,-0.147520006363144,599.640733830376
"SPL26","G4",NA,"unk",277.353853505421,3.14,19,0.7405,2.44303420426755,-0.130474937142773,870.891100007021
"SPL27","P17",NA,"unk",236.739459051435,2,19,0.802,2.37427065091624,-0.0958256317158365,473.478918102869
"SPL28","R13",NA,"unk",159.203035509614,2,19,0.9795,2.20195134413348,-0.00899555966924482,318.406071019228
"SPL29","R5",NA,"unk",146.903314970412,2,19,1.02,2.1670315960429,0.00860017176191757,293.806629940823
"SPL3","G15",NA,"unk",327.990597333118,2,1,0.6805,2.5158613937578,-0.167171870460647,655.981194666236
"SPL34","SD4 2",NA,"unk",192.977443946176,1,NA,0.889,2.28550654972184,-0.0510982390297863,192.977443946176
"SPL4","B14",NA,"unk",151.286599054507,2.2,1,1.005,2.17980045998328,0.00216606175650773,332.830517919916
"SPL5","R16",NA,"unk",68.3338410260339,2,1,1.5,1.83463583297979,0.176091259055681,136.667682052068
"SPL6","G11",NA,"unk",223.015719785322,2,1,0.8265,2.34833547639079,-0.0827571420925337,446.031439570644
"SPL7","Y5",NA,"unk",592.836014752827,2,7,0.505,2.77293457913678,-0.296708621881339,1185.67202950565
"SPL8","R17",NA,"unk",160.012517671226,2,7,0.977,2.20415395854901,-0.0101054362812269,320.025035342452
"SPL9","B12",NA,"unk",195.368860903737,2.44,7,0.8835,2.29085534436047,-0.0537934461572171,476.700020605118
"STD1","std",NA,"standard",1000,1,NA,0.319,3,-0.496209316942819,1000
"STD2","std",NA,"standard",500,1,NA,0.5505,2.69897000433602,-0.259242676692229,500
"STD3","std",NA,"standard",250,1,NA,0.8585,2.39794000867204,-0.0662597005030647,250
"STD4","std",NA,"standard",125,1,NA,1.306,2.09691001300806,0.115943176939055,125
"STD5","std",NA,"standard",62.5,1,NA,1.785,1.79588001734408,0.251638220448212,62.5
"STD6","std",NA,"standard",31.2,1,NA,2.3065,1.49415459401844,0.362953458944286,31.2
"STD7","std",NA,"standard",15.6,1,NA,2.5085,1.19312459835446,0.39941410536377,15.6
"STD8","std",NA,"standard",0,1,NA,3.0065,-Inf,0.478061208181518,0
